meter_name,house_connection_no,latitude,longitude,area_name,date,house_connection_TYPE
84828565,3.01822E+12,26.4572052,50.02013877,Dammam -  الدمام,12/21/2025,HCN وصلة منزلية
86167409,3.02243E+12,26.43967294,50.0191263,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
10110035237,3.00507E+12,26.4618572,50.0357393,Dammam -  الدمام,8/10/2025,HCN وصلة منزلية
85235197,3.00824E+12,26.45711824,50.09226855,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
3.00182E+12,3.00182E+12,26.45064385,50.01575563,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
131480058,3.00202E+12,26.4301268,50.0429515,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
131477605,3.00911E+12,26.40379929,50.0381664,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
53912665,3.00485E+12,26.40530891,50.07362222,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
10131481500,3.03373E+12,26.4669799,50.123626,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
64635355,3.00312E+12,26.392685,50.08415,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
61294628,3.00461E+12,26.439604,50.02913,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
53738471,3.01258E+12,26.427808,50.025033,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
63981885,3.00002E+12,26.44368,50.108558,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
53614677,3.00867E+12,26.438783,50.043834,Dammam -  الدمام,12/18/2025,HCN وصلة منزلية
41433453,3.00912E+12,26.4055444,50.0239987,Dammam -  الدمام,1/16/2025,HCN وصلة منزلية
99089885,3.00576E+12,26.4380527,50.0548097,Dammam -  الدمام,2/23/2025,HCN وصلة منزلية
65873346,3.00711E+12,26.4121999,50.0551509,Dammam -  الدمام,3/17/2025,HCN وصلة منزلية
39205288,3.00759E+12,26.4203228,50.0851328,Dammam -  الدمام,4/12/2025,HCN وصلة منزلية
64007402,3.00095E+12,26.4388697,50.060542,Dammam -  الدمام,10/12/2025,HCN وصلة منزلية
64237445,3.03377E+12,26.4925879,50.1303807,Dammam -  الدمام,10/11/2025,HCN وصلة منزلية
64110895,3.02031E+12,26.4635336,50.0937206,Dammam -  الدمام,10/10/2025,HCN وصلة منزلية
61712048,3.00031E+12,26.446965,50.1021379,Dammam -  الدمام,4/9/2025,HCN وصلة منزلية
55253989,3.02481E+12,26.370356,50.057613,Dammam -  الدمام,2/2/2025,HCN وصلة منزلية
64808608,3.21812E+12,26.4152886,50.1138786,Dammam -  الدمام,9/7/2025,HCN وصلة منزلية
38949515,3.00752E+12,26.4309403,50.0817055,Dammam -  الدمام,8/4/2025,HCN وصلة منزلية
140.1049,3.01049E+12,26.373652,50.1344311,Dammam -  الدمام,10/21/2024,HCN وصلة منزلية
39209628,3.00551E+12,26.3909016,50.1107418,Dammam -  الدمام,1/12/2025,HCN وصلة منزلية
63969201,3.0068E+12,26.363798,50.029558,Dammam -  الدمام,1/29/2025,HCN وصلة منزلية
97144444,3.02111E+12,26.3524891,50.0399182,Dammam -  الدمام,2/6/2025,HCN وصلة منزلية
64730400,3.00811E+12,26.4452426,50.0288115,Dammam -  الدمام,3/13/2025,HCN وصلة منزلية
85157607,3.00911E+12,26.4051343,50.0318794,Dammam -  الدمام,4/30/2025,HCN وصلة منزلية
53239338,3.01049E+12,26.3750425,50.131694,Dammam -  الدمام,1/14/2025,HCN وصلة منزلية
65691248,3.00911E+12,26.4039559,50.0380027,Dammam -  الدمام,5/7/2025,HCN وصلة منزلية
38095668,3.00225E+12,26.4300706,50.042969,Dammam -  الدمام,3/3/2025,HCN وصلة منزلية
65849790,3.00914E+12,26.392076,50.0251258,Dammam -  الدمام,4/28/2025,HCN وصلة منزلية
65517686,3.00911E+12,26.4060881,50.0307953,Dammam -  الدمام,4/30/2025,HCN وصلة منزلية
64731067,3.00537E+12,26.3703031,50.1210884,Dammam -  الدمام,3/8/2025,HCN وصلة منزلية
39220457,3.01258E+12,26.4276175,50.0249463,Dammam -  الدمام,2/17/2025,HCN وصلة منزلية
64660389,3.04522E+12,26.357994,50.146935,Dammam -  الدمام,3/12/2025,HCN وصلة منزلية
85013040,3.00912E+12,26.4093884,50.0224229,Dammam -  الدمام,4/19/2025,HCN وصلة منزلية
63938403,3.00009E+12,26.4251066,50.0983006,Dammam -  الدمام,5/31/2025,HCN وصلة منزلية
64756161,3.00009E+12,26.4258168,50.0994298,Dammam -  الدمام,5/31/2025,HCN وصلة منزلية
38906283,3.00125E+12,26.4105896,50.1845849,Dammam -  الدمام,6/2/2025,HCN وصلة منزلية
64537200,3.00097E+12,26.42503338,50.13429469,Dammam -  الدمام,6/24/2025,HCN وصلة منزلية
64110803,3.02211E+12,26.4710459,50.0869685,Dammam -  الدمام,6/22/2025,HCN وصلة منزلية
64397231,3.02212E+12,26.4718557,50.0874389,Dammam -  الدمام,6/22/2025,HCN وصلة منزلية
98117579,3.01097E+12,26.381453,50.140966,Dammam -  الدمام,10/28/2024,HCN وصلة منزلية
65510981,3.00711E+12,26.40720591,50.05497315,Dammam -  الدمام,7/17/2025,HCN وصلة منزلية
65510230,3.00711E+12,26.40707684,50.05524495,Dammam -  الدمام,7/17/2025,HCN وصلة منزلية
47910603,3.02945E+12,26.42913535,49.99620982,Dammam -  الدمام,7/16/2025,HCN وصلة منزلية
71009432,3.29477E+12,26.43763871,49.98328436,Dammam -  الدمام,7/15/2025,HCN وصلة منزلية
64395927,3.00141E+12,26.4562532,50.0698989,Dammam -  الدمام,7/15/2025,HCN وصلة منزلية
46101521,3.00002E+12,26.4448681,50.1092875,Dammam -  الدمام,7/13/2025,HCN وصلة منزلية
46030822,3.00002E+12,26.4440929,50.1136432,Dammam -  الدمام,7/13/2025,HCN وصلة منزلية
55281868,3.29411E+12,26.42182679,49.97841684,Dammam -  الدمام,7/12/2025,HCN وصلة منزلية
46031023,3.02945E+12,26.43806002,49.99300694,Dammam -  الدمام,7/24/2025,HCN وصلة منزلية
55230601,3.02945E+12,26.4389274,49.9928635,Dammam -  الدمام,7/24/2025,HCN وصلة منزلية
84922614,3.01003E+12,26.3462969,50.1507848,Dammam -  الدمام,7/24/2025,HCN وصلة منزلية
46031026,3.02945E+12,26.4364435,49.9932327,Dammam -  الدمام,7/24/2025,HCN وصلة منزلية
65698465,3.02945E+12,26.43748862,49.98824938,Dammam -  الدمام,7/23/2025,HCN وصلة منزلية
84972401,3.01003E+12,26.3424632,50.1526297,Dammam -  الدمام,7/23/2025,HCN وصلة منزلية
47684598,3.02945E+12,26.43633756,49.98923246,Dammam -  الدمام,7/22/2025,HCN وصلة منزلية
53240009,3.01003E+12,26.3456069,50.1471559,Dammam -  الدمام,7/22/2025,HCN وصلة منزلية
10110609575,3.01003E+12,26.349731,50.1524548,Dammam -  الدمام,7/22/2025,HCN وصلة منزلية
65873396,3.00712E+12,26.42293931,50.04044747,Dammam -  الدمام,7/21/2025,HCN وصلة منزلية
64660818,3.01003E+12,26.343473,50.152543,Dammam -  الدمام,7/21/2025,HCN وصلة منزلية
1003.507,3.01003E+12,26.3543768,50.151839,Dammam -  الدمام,7/20/2025,HCN وصلة منزلية
84991636,3.29411E+12,26.42375029,49.98339239,Dammam -  الدمام,7/30/2025,HCN وصلة منزلية
46100078,3.02943E+12,26.4403603,49.9999948,Dammam -  الدمام,7/28/2025,HCN وصلة منزلية
65338517,3.01095E+12,26.365763,50.0790405,Dammam -  الدمام,7/31/2025,HCN وصلة منزلية
97148625,3.01179E+12,26.3613845,50.0782104,Dammam -  الدمام,7/31/2025,HCN وصلة منزلية
10110913668,3.01822E+12,26.4625113,50.0198742,Dammam -  الدمام,8/6/2025,HCN وصلة منزلية
39205186,3.00754E+12,26.425813,50.071598,Dammam -  الدمام,8/5/2025,HCN وصلة منزلية
85272803,3.01822E+12,26.4551694,50.0242727,Dammam -  الدمام,8/11/2025,HCN وصلة منزلية
84902961,3.01822E+12,26.4571389,50.0273081,Dammam -  الدمام,8/11/2025,HCN وصلة منزلية
85200837,3.01821E+12,26.4561867,50.0147988,Dammam -  الدمام,8/12/2025,HCN وصلة منزلية
85230897,3.01821E+12,26.4566441,50.0139692,Dammam -  الدمام,8/12/2025,HCN وصلة منزلية
85341468,3.01821E+12,26.4555221,50.0151494,Dammam -  الدمام,8/12/2025,HCN وصلة منزلية
83130992,3.29413E+12,26.4393809,49.9794268,Dammam -  الدمام,8/13/2025,HCN وصلة منزلية
63838868,3.00072E+12,26.433479,50.096477,Dammam -  الدمام,8/13/2025,HCN وصلة منزلية
41520221,3.01821E+12,26.4539244,50.0189257,Dammam -  الدمام,8/16/2025,HCN وصلة منزلية
64537450,3.03377E+12,26.4939717,50.1323671,Dammam -  الدمام,8/18/2025,HCN وصلة منزلية
65167087,3.02949E+12,26.4596005,49.9893572,Dammam -  الدمام,8/18/2025,HCN وصلة منزلية
64237392,3.03377E+12,26.4897775,50.1319317,Dammam -  الدمام,8/19/2025,HCN وصلة منزلية
64237437,3.03377E+12,26.4895511,50.1316894,Dammam -  الدمام,8/19/2025,HCN وصلة منزلية
64645068,3.00184E+12,26.3963693,50.0903396,Dammam -  الدمام,8/20/2025,HCN وصلة منزلية
64644351,3.00184E+12,26.3954293,50.0966244,Dammam -  الدمام,8/21/2025,HCN وصلة منزلية
64735577,3.00184E+12,26.396838,50.0939561,Dammam -  الدمام,8/22/2025,HCN وصلة منزلية
64537429,3.03373E+12,26.4715308,50.1301137,Dammam -  الدمام,8/23/2025,HCN وصلة منزلية
167409,3.02243E+12,26.4397053,50.0190774,Dammam -  الدمام,8/24/2025,HCN وصلة منزلية
64238387,3.03373E+12,26.4670403,50.1295284,Dammam -  الدمام,8/24/2025,HCN وصلة منزلية
64636692,3.00184E+12,26.3930013,50.1014413,Dammam -  الدمام,8/25/2025,HCN وصلة منزلية
64636680,3.00184E+12,26.3937973,50.1016252,Dammam -  الدمام,8/25/2025,HCN وصلة منزلية
64636671,3.00184E+12,26.3941838,50.1017921,Dammam -  الدمام,8/25/2025,HCN وصلة منزلية
64730612,3.00345E+12,26.3943989,50.1036359,Dammam -  الدمام,8/26/2025,HCN وصلة منزلية
85243185,3.00345E+12,26.3935129,50.1027497,Dammam -  الدمام,8/26/2025,HCN وصلة منزلية
64735405,3.00551E+12,26.3983709,50.1081425,Dammam -  الدمام,8/28/2025,HCN وصلة منزلية
65560264,3.00224E+12,26.437955,50.025209,Dammam -  الدمام,8/28/2025,HCN وصلة منزلية
461,3.04611E+12,26.439499,50.029072,Dammam -  الدمام,8/28/2025,HCN وصلة منزلية
65338442,3.21822E+12,26.406845,50.109181,Dammam -  الدمام,8/28/2025,HCN وصلة منزلية
1243,3.01243E+12,26.3367993,50.0499083,Dammam -  الدمام,8/18/2025,HCN وصلة منزلية
64809144,3.00551E+12,26.3963423,50.1137448,Dammam -  الدمام,8/31/2025,HCN وصلة منزلية
63994880,3.00921E+12,26.4482933,50.0390092,Dammam -  الدمام,9/1/2025,HCN وصلة منزلية
99131561,3.01001E+12,26.4340411,50.1301716,Dammam -  الدمام,9/2/2025,HCN وصلة منزلية
